beta_guilt,beta_loyalty,agent_id,episode_idx,outcome,rescued,n_memories,target_switches
0.05,0.05,0,0,PARTNER_RESCUED,1,2,0
0.05,0.05,0,1,TIMEOUT,0,3,2
0.05,0.05,0,2,RESOURCE_TAKEN,0,4,0
0.05,0.05,0,3,PARTNER_RESCUED,1,5,0
0.05,0.05,0,4,TIMEOUT,0,6,0
0.05,0.05,0,5,TIMEOUT,0,7,0
0.05,0.05,0,6,TIMEOUT,0,8,1
0.05,0.05,0,7,TIMEOUT,0,9,1
0.05,0.05,0,8,TIMEOUT,0,10,1
0.05,0.05,0,9,RESOURCE_TAKEN,0,11,1
0.05,0.05,1,0,PARTNER_RESCUED,1,2,0
0.05,0.05,1,1,PARTNER_RESCUED,1,3,0
0.05,0.05,1,2,TIMEOUT,0,4,1
0.05,0.05,1,3,TIMEOUT,0,5,0
0.05,0.05,1,4,TIMEOUT,0,6,1
0.05,0.05,1,5,TIMEOUT,0,7,0
0.05,0.05,1,6,TIMEOUT,0,8,0
0.05,0.05,1,7,TIMEOUT,0,9,1
0.05,0.05,1,8,TIMEOUT,0,10,0
0.05,0.05,1,9,TIMEOUT,0,11,2
0.05,0.05,2,0,PARTNER_RESCUED,1,2,0
0.05,0.05,2,1,TIMEOUT,0,3,2
0.05,0.05,2,2,RESOURCE_TAKEN,0,4,0
0.05,0.05,2,3,PARTNER_RESCUED,1,5,0
0.05,0.05,2,4,TIMEOUT,0,6,0
0.05,0.05,2,5,TIMEOUT,0,7,1
0.05,0.05,2,6,TIMEOUT,0,8,0
0.05,0.05,2,7,TIMEOUT,0,9,1
0.05,0.05,2,8,RESOURCE_TAKEN,0,10,0
0.05,0.05,2,9,PARTNER_RESCUED,1,11,0
0.05,0.05,3,0,PARTNER_RESCUED,1,2,0
0.05,0.05,3,1,TIMEOUT,0,3,2
0.05,0.05,3,2,RESOURCE_TAKEN,0,4,1
0.05,0.05,3,3,PARTNER_RESCUED,1,5,0
0.05,0.05,3,4,TIMEOUT,0,6,1
0.05,0.05,3,5,TIMEOUT,0,7,0
0.05,0.05,3,6,RESOURCE_TAKEN,0,8,0
0.05,0.05,3,7,PARTNER_RESCUED,1,9,0
0.05,0.05,3,8,PARTNER_RESCUED,1,10,0
0.05,0.05,3,9,TIMEOUT,0,11,0
0.05,0.05,4,0,PARTNER_RESCUED,1,2,0
0.05,0.05,4,1,TIMEOUT,0,3,1
0.05,0.05,4,2,RESOURCE_TAKEN,0,4,0
0.05,0.05,4,3,PARTNER_RESCUED,1,5,0
0.05,0.05,4,4,PARTNER_RESCUED,1,6,0
0.05,0.05,4,5,TIMEOUT,0,7,1
